stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\user\Desktop\Proyectos3ciclo\AED\tf\AllegroTemp\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.04727] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04732] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04736] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04740] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04744] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04748] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04752] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04756] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04759] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04764] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04767] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04771] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04775] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04779] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.04785] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.05832] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.05842] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.08880] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.10034] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.10041] Success
d3d      D         d3d_disp.cpp:1691 d3d_create_display_internals     [   0.10047] Resumed after wait.
d3d      I         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.10054] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1755 d3d_create_display_internals     [   0.10060] Returning d3d_display: 00C39718
d3d      D         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.10065] al_display=00C39718
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.10068] al_display->vt=00C08078
system   D            wsystem.c:738  maybe_parent_dir                 [   0.10098] Also searching C:\Users\user\Desktop\Proyectos3ciclo\AED\tf\AllegroTemp\
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.10164] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
system   D            wsystem.c:699  load_library_at_path             [   0.10168] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:702  load_library_at_path             [   0.10779] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.10790] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.10807] added dtor for queue 00CED808, func 0FDC23A1
dtor     D               dtor.c:196  _al_register_destructor          [   0.13891] added dtor for bitmap 048B3998, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.14010] added dtor for bitmap 048CD628, func 0FDC2252
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15225] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15240] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15244] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15247] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15252] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15256] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15260] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15264] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15268] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.15271] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.15274] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.15278] Found a format
d3d      I         d3d_disp.cpp:2377 d3d_create_bitmap                [   0.15282] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.15332] added dtor for bitmap 048E8118, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15416] added dtor for sub_bitmap 04935500, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15426] added dtor for sub_bitmap 04935678, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15431] added dtor for sub_bitmap 049357F0, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15435] added dtor for sub_bitmap 04935968, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15440] added dtor for sub_bitmap 04935AE0, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15445] added dtor for sub_bitmap 04935C58, func 0FDC2252
